coeff,lma,n,p,sla
2160,-35821.20531262591,-0.031083034599474924,-31827.140284705012,1.8451764817516272
2170,-32955.47412914908,-0.029640058606664983,-28290.495962218167,1.7303802361844303
2180,-30657.642765721,-0.028073206876415364,-26262.581604213367,1.6133386817197484
2190,-29993.13944576523,-0.027408785472646736,-26486.04651026098,1.5676036238282363
2200,-29580.913442233687,-0.027154050527708588,-26884.20943485717,1.5538661404014356
2210,-27652.466965302887,-0.025858617074863307,-25433.698929455397,1.4442027449306758
2220,-28067.22072345531,-0.02675289220404281,-26051.97114395085,1.491958682905083
2230,-32301.621945719675,-0.030646979609762655,-30374.6707555012,1.73255445487456
2240,-38289.01020595767,-0.035398565438452885,-36583.78733521504,2.0417234061182605
2250,-43918.97533117656,-0.03943959264068068,-41992.81222311391,2.3191348923276536
2260,-47018.02677442633,-0.04118281462723827,-44649.995385342845,2.4583838781290237
2270,-47466.778959639225,-0.0408811739474482,-44300.88098327905,2.4760662454376043
2280,-46210.990860485326,-0.03903279671851179,-42693.904188428714,2.392909790272999
2290,-45066.07430584248,-0.036853314213523454,-42013.8747849586,2.275508257779983
2300,-44791.792084798704,-0.03559223168998319,-42192.80731535491,2.2285334057946904
2310,-42971.108761291456,-0.03337703397282091,-41101.79631242149,2.126337060325803
2320,-38983.00846305201,-0.0293808211454524,-37797.132468069045,1.9010181659535839
2330,-35824.02255792955,-0.025904150109996377,-34872.705781901685,1.7171209173989872
2340,-32990.895986613796,-0.022561765392994596,-32090.901987444475,1.5518438887341697
2350,-28427.96939998527,-0.01826590656457134,-27137.974682948836,1.331276157316252
2360,-22660.671776052106,-0.012699606253493863,-21541.83659662507,1.0055013795602805
2370,-20154.275713154424,-0.009380004023092418,-19601.876895193862,0.8397996130190577
2380,-17869.78758712967,-0.006180598612862052,-17640.710202338894,0.6820189125173615
2390,-12290.74245242772,-9.954666544350935e-4,-11241.56727142492,0.39263823731430364
2400,-7189.838592907915,0.0037249802577168974,-5112.915657342351,0.13775408432765995
2410,-8438.468148142148,0.0048301608357911125,-7031.310676744923,0.10216289118374519
2420,-12016.658130810902,0.004623729481661792,-11316.449375851074,0.15565303681449516
2430,-8084.553053889258,0.008551688953189609,-5410.305725213221,-0.05478698515179097
2440,-5947.28027610336,0.011435909838791008,-1293.5012663969103,-0.1885926213319894
2450,-6794.222217087394,0.012690743472906045,-1052.7791383063375,-0.22414154782261628
2460,-7987.651895808655,0.013674991057648396,-1415.4537455807867,-0.24137192278722816
2470,-8243.451985985292,0.015034565127982858,36.25986842299493,-0.2656967535997833
2480,-7132.621632541301,0.017113982850266645,2828.3560708624564,-0.3377823730147497
2490,-2321.7525589203096,0.021463701371113683,10152.014268016539,-0.5693385293504851
2500,-1290.013685672005,0.022706573755020932,11708.887054435454,-0.626858653955236
